lake,depth ,sample_type,dolichospermum_nul,aphanizomenon_nul,microcystis_nul,ceratium_nul,nauplii_nul,bosmina_nul,calanoid_nul,cyclopoid_nul,chaoborus_nul
University,0,,56560,13440,1120,3800,16.8,1.2,12,3,0
University,1,,147280,19040,1120,408,26.1,1.1,13.5,2.3,0
University,2,,45749.3,7780.5,778.1,773,0.3,0.2,1.2,0.4,0
University,3,,68381,0,0,305,12,4.5,22.5,18,0
University,3,dup,121735,10942,2736,115,1.2,2.3,10.5,16.3,0
University,4,,20821,5923,2513,0,0,1.1,3.4,9.1,0
University,5,,21903,5227,12196,0,9.5,2.4,11.8,49.7,0.6
University,6,,18669,2976,16505,0,0,1.4,0,7,0.5
University,7,,14438.1,900.9,15315.3,0,0,3.9,3.9,19.5,0
University,8,,4357,1634,12527,0,5.3,0,16,32,0.1
