lake,depth ,sample_type,dolichospermum_nul,aphanizomenon_nul,chrysosphaerella_nul,dinobryon_nul,nauplii_nul,ceriodaphnia_nul,calanoid_nul,cyclopoid_nul,chaoborus_nul
University,0,,1301,"6,666",361,4188,8.2,3,0,16,0
University,1,,0,843,212,5947,11,3,6,0,0
University,2,,0,743,376,2163,34.2,30,6.7,8,0
University,3,,0,"5,376","61,867",3469,149,15,16.3,2.3,0
University,3,dup,2185,0,"45,817",5261,12.6,0,14.6,19.5,0
University,4,,134,"54,406","12,709",1037,54.9,49,38,132,10
University,5,,4015,"86,603","7,692",917,81,25,4.7,6.3,0.6
University,6,,5664,"34,945","3,064",2632,113,23,1,20,1
University,6,rep,0,0,"1,274",1201,0,0,9.9,2.5,0.3
University,7,,958,"8,758","1,487",1239,29.3,4,1.4,8.4,15.4
University,8,,0,"23,889","3,895",1168,7.6,31,5,11,0
