lake_name,depth ,sample_type,temp_c,do_mgl,do_sat_per,cond_umhos,light_level_per,ph,alk_mgl,turb_ntu,srp_mgl,tp_mgl,nh3_mgl,no3_mgl,tn_mgl,chla_ugl
University,0,,28.7,8.46,111.7,449,100,8.5,134,1.2,0.002,0.011,0.016,0.173,0.653,1.84
University,1,,27.8,8.56,111.1,448,37.2,8.2,133,1.5,0.004,0.011,-0.008,0.17,0.83,1.86
University,2,,26.6,10.08,128.1,449,20.5,8.2,130,1.1,0.002,0.010,0.034,0.173,0.664,1.59
University,2,rep,,,,,9,8.2,129,1.5,0.002,0.008,,,0.639,1.61
University,3,,24.9,9.09,111.7,470,2.6,8.1,137,1.7,0.004,0.015,-0.037,0.175,0.623,7.42
University,3,dup,24.9,9.63,119.0,466,0.04,8.0,135,3.1,0.008,0.021,-0.038,0.149,0.651,8.23
University,4,,22.3,1.42,16.4,529,0,7.4,155,8.0,0.004,0.024,-0.023,0.061,0.744,11.14
University,5,,16.9,0.04,0.4,653,0,7.2,208,17.3,0.006,0.056,0.540,0.005,1.475,58.10
University,6,,12.5,0.02,0.0,743,0,6.9,233,51.2,0.035,0.082,2.962,0,3.593,44.30
University,7,,10.4,0.01,0.0,793,0,6.9,242,47.7,0.060,0.112,3.491,0.003,4.159,11.13
University,8,,8.8,0.00,0.0,827,0,6.7,253,46.0,0.224,0.238,4.637,0.007,5.527,9.96
University,,,,,,,,,,,,,,,,
